Date	Open	High	Low	Close	Volume	Adj Close						
9/20/2006	24.93	25.05	24.92	25	107900	23.9						
9/21/2006	24.94	25.05	24.89	24.9	21200	23.81						
9/22/2006	24.76	24.8	24.71	24.8	18100	23.71						
9/25/2006	24.95	25	24.9	25	13600	23.9						
9/26/2006	25.08	25.11	25	25.03	73400	23.93						
9/27/2006	24.95	24.97	24.89	24.95	17600	23.86						
9/28/2006	24.97	24.99	24.93	24.98	227100	23.89						
9/29/2006	25.01	25.03	24.99	25	400000	23.9						
10/2/2006	25	25.03	24.95	25.01	15100	23.91						
10/3/2006	25.04	25.04	24.99	25	19800	23.9						
10/4/2006	25.1	25.16	25.1	25.14	34100	24.04						
10/5/2006	25.18	25.18	25.12	25.15	41800	24.05						
10/6/2006	25.29	25.29	25.23	25.28	131400	24.17						
10/9/2006	25.3	25.42	25.29	25.42	61600	24.31						
10/10/2006	25.48	25.48	25.41	25.45	55000	24.34						
10/11/2006	25.49	25.5	25.4	25.45	31700	24.34						
10/12/2006	25.53	25.56	25.5	25.52	30800	24.4						
10/13/2006	25.59	25.62	25.54	25.58	31600	24.46						
10/16/2006	25.55	25.56	25.47	25.55	14900	24.43						
10/17/2006	25.55	25.57	25.44	25.57	127500	24.45						
10/18/2006	25.65	25.67	25.56	25.63	30000	24.51						
10/19/2006	25.56	25.57	25.5	25.52	26100	24.4						
10/20/2006	25.5	25.54	25.43	25.52	42000	24.4						
10/23/2006	25.49	25.62	25.49	25.59	24400	24.47						
10/24/2006	25.63	25.67	25.6	25.64	35700	24.52						
10/25/2006	25.6	25.61	25.54	25.56	51600	24.44						
10/26/2006	25.42	25.44	25.29	25.38	71300	24.27						
10/27/2006	25.37	25.41	25.3	25.39	28100	24.28						
10/30/2006	25.42	25.47	25.39	25.45	27400	24.34						
10/31/2006	25.53	25.53	25.41	25.48	39600	24.36						
11/1/2006	25.51	25.54	25.45	25.52	24400	24.4						
11/2/2006	25.53	25.55	25.5	25.52	22800	24.4						
11/3/2006	25.59	25.63	25.57	25.59	57800	24.47						
11/6/2006	25.6	25.64	25.53	25.62	95100	24.5						
11/7/2006	25.5	25.58	25.48	25.55	43800	24.43						
11/8/2006	25.5	25.51	25.4	25.49	60500	24.37						
11/9/2006	25.41	25.41	25.25	25.34	48700	24.23						
11/10/2006	25.25	25.27	25.17	25.27	91300	24.16						
11/13/2006	25.23	25.27	25.19	25.25	58000	24.14						
11/14/2006	25.18	25.25	25.17	25.21	32100	24.11						
11/15/2006	25.3	25.31	25.2	25.23	30700	24.12						
11/16/2006	25.25	25.41	25.25	25.39	57600	24.28						
11/17/2006	25.36	25.4	25.3	25.38	81300	24.27						
11/20/2006	25.4	25.47	25.35	25.47	129700	24.35						
11/21/2006	25.5	25.5	25.4	25.47	21800	24.35						
11/22/2006	25.43	25.43	25.22	25.31	133000	24.2						
11/24/2006	25	25.08	24.89	25.06	29100	23.96						
11/27/2006	25	25	24.9	24.98	46000	23.89						
11/28/2006	25.1	25.15	25	25.14	52800	24.04						
11/29/2006	25.15	25.23	25.07	25.13	233400	24.03						
11/30/2006	25.21	25.23	25.06	25.14	138900	24.04						
12/1/2006	25.02	25.12	24.56	25.04	229700	23.94						
12/4/2006	25	25.09	24.96	25.09	42500	23.99						
12/5/2006	25.02	25.02	24.9	24.99	98500	23.9						
12/6/2006	25.05	25.11	24.98	25.1	49100	24						
12/7/2006	25.07	25.13	25.05	25.05	20000	23.95						
12/8/2006	25.11	25.31	25.1	25.28	83000	24.17						
12/11/2006	25.22	25.33	25.22	25.31	47000	24.2						
12/12/2006	25.35	25.35	25.25	25.31	15600	24.2						
12/13/2006	25.34	25.46	25.34	25.44	13000	24.33						
12/14/2006	25.5	25.59	25.43	25.56	29100	24.44						
12/15/2006	25.6	25.71	25.51	25.7	48700	24.57						
12/18/2006	25.65	26.13	25.62	25.62	927300	24.55						
12/19/2006	25.63	25.69	25.56	25.58	269600	24.52						
12/20/2006	25.65	25.72	25.6	25.67	175400	24.6						
12/21/2006	25.64	25.67	25.6	25.63	120200	24.56						
12/22/2006	25.85	25.85	25.59	25.79	111100	24.72						
12/26/2006	25.84	25.84	25.76	25.82	102500	24.75						
12/27/2006	25.82	25.91	25.8	25.91	115200	24.83						
12/28/2006	25.92	26	25.91	26	360600	24.92						
12/29/2006	26	26.01	25.77	25.95	161800	24.87						
1/3/2007	26	26.16	26	26.08	285700	25						
1/4/2007	26.05	26.12	26.01	26.1	179000	25.02						
1/5/2007	26	26.02	25.85	25.88	186200	24.8						
1/8/2007	26	26.01	25.92	25.95	177900	24.87						
1/9/2007	26.15	26.19	26	26.14	186900	25.05						
1/10/2007	26.14	26.16	26.07	26.12	187600	25.03						
1/11/2007	26.3	26.39	26.25	26.34	401900	25.25						
1/12/2007	26.3	26.34	26.2	26.26	143100	25.17						
1/16/2007	26.4	26.4	26.26	26.32	186200	25.23						
1/17/2007	26.35	26.39	26.28	26.34	185400	25.25						
1/18/2007	26.54	26.54	26.41	26.46	357100	25.36						
1/19/2007	26.55	26.55	26.44	26.48	147500	25.38						
1/22/2007	26.65	26.65	26.54	26.56	335800	25.46						
1/23/2007	26.55	26.55	26.45	26.5	310700	25.4						
1/24/2007	26.5	26.5	26.27	26.47	273400	25.37						
1/25/2007	26.45	26.45	26.27	26.35	199400	25.25						
1/26/2007	26.4	26.44	26.3	26.42	251900	25.32						
1/29/2007	26.5	26.5	26.3	26.36	325100	25.26						
1/30/2007	26.3	26.3	26.21	26.25	174700	25.16						
1/31/2007	26.25	26.25	26.02	26.14	199000	25.05						
2/1/2007	26.13	26.14	25.98	26.06	206900	24.98						
2/2/2007	26.14	26.18	26.07	26.17	276800	25.08						
2/5/2007	26.25	26.28	26.17	26.26	147000	25.17						
2/6/2007	26.2	26.2	26.07	26.09	355300	25.01						
2/7/2007	26.19	26.29	26.1	26.24	127300	25.15						
2/8/2007	26.3	26.31	26.22	26.27	149900	25.18						
2/9/2007	26.35	26.35	26.21	26.29	133500	25.2						
2/12/2007	26.32	26.38	26.26	26.36	128500	25.26						
2/13/2007	26.41	26.42	26.35	26.4	111200	25.3						
2/14/2007	26.4	26.42	26.33	26.37	95200	25.27						
2/15/2007	26.4	26.48	26.27	26.32	211300	25.23						
2/16/2007	26.45	26.48	26.37	26.42	83800	25.32						
2/20/2007	26.47	26.57	26.47	26.54	142900	25.44						
2/21/2007	26.7	26.81	26.69	26.77	152800	25.66						
2/22/2007	26.86	26.87	26.7	26.8	120900	25.69						
2/23/2007	26.78	26.8	26.7	26.77	179000	25.66						
2/26/2007	26.76	26.81	26.67	26.71	84700	25.6						
2/27/2007	26.3	26.47	26.09	26.24	159800	25.15						
2/28/2007	26.25	26.38	26.25	26.36	103000	25.26						
3/1/2007	26.17	26.28	26.09	26.24	161500	25.15						
3/2/2007	26.01	26.15	25.92	26	139900	24.92						
3/5/2007	25.85	25.88	25.71	25.72	287000	24.65						
3/6/2007	25.82	25.99	25.79	25.95	130900	24.87						
3/7/2007	26	26.02	25.81	25.86	78100	24.78						
3/8/2007	26.05	26.19	26.05	26.1	66300	25.02						
3/9/2007	26.39	26.4	26.25	26.4	79000	25.3						
3/12/2007	26.29	26.37	26.17	26.35	71800	25.25						
3/13/2007	26.18	26.3	26.05	26.06	53800	24.98						
3/14/2007	26.06	26.19	26	26.17	503300	25.08						
3/15/2007	26.2	26.33	26.19	26.32	70200	25.23						
3/16/2007	26.29	26.3	26.19	26.27	63300	25.18						
3/19/2007	26.35	26.53	26.35	26.47	172100	25.37						
3/20/2007	26.45	26.63	26.43	26.62	60200	25.51						
3/21/2007	26.71	26.71	26.6	26.71	68500	25.6						
3/22/2007	26.85	26.85	26.71	26.82	169400	25.71						
3/23/2007	26.82	26.88	26.79	26.87	105200	25.75						
3/26/2007	26.97	27.05	26.88	27	78600	25.88						
3/27/2007	27	27	26.89	26.92	84700	25.8						
3/28/2007	26.66	26.83	26.66	26.79	87700	25.68						
3/29/2007	26.99	26.99	26.88	26.94	67800	25.82						
3/30/2007	26.96	27.04	26.88	26.97	110800	25.85						
4/2/2007	27.18	27.22	27.11	27.22	70600	26.09						
4/3/2007	27.24	27.29	27.2	27.28	68500	26.15						
4/4/2007	27.19	27.3	27.12	27.28	66000	26.15						
4/5/2007	27.23	27.24	27.16	27.24	79000	26.11						
